iter	Passed	Remaining
903	1776	188
904	1778	186
905	1780	184
906	1781	182
907	1783	180
908	1785	178
909	1787	176
910	1789	174
911	1791	172
912	1793	170
913	1795	168
914	1797	166
915	1799	165
916	1801	163
917	1803	161
918	1805	159
919	1806	157
920	1808	155
921	1810	153
922	1812	151
923	1813	149
924	1815	147
925	1817	145
926	1819	143
927	1821	141
928	1823	139
929	1824	137
930	1826	135
931	1828	133
932	1830	131
933	1832	129
934	1834	127
935	1837	125
936	1839	123
937	1841	121
938	1843	119
939	1845	117
940	1847	115
941	1849	113
942	1851	111
943	1853	109
944	1855	107
945	1857	106
946	1859	104
947	1861	102
948	1863	100
949	1865	98
950	1868	96
951	1870	94
952	1872	92
953	1874	90
954	1876	88
955	1878	86
956	1880	84
957	1882	82
958	1884	80
959	1886	78
960	1888	76
961	1890	74
962	1892	72
963	1894	70
964	1896	68
965	1898	66
966	1900	64
967	1902	62
968	1904	60
969	1906	58
970	1908	57
971	1910	55
972	1912	53
973	1915	51
974	1917	49
975	1919	47
976	1921	45
977	1923	43
978	1925	41
979	1927	39
980	1929	37
981	1931	35
982	1933	33
983	1935	31
984	1937	29
985	1938	27
986	1940	25
987	1942	23
988	1944	21
989	1946	19
990	1948	17
991	1950	15
992	1952	13
993	1954	11
994	1956	9
995	1958	7
996	1960	5
997	1962	3
998	1964	1
999	1966	0
